idx, removed feature, AUC-training, AUC-validation, percent change AUC-train, percent change AUC-valid
370, PEDISEYE,0.8071,0.7613,-0.2303,0.0171
177, PRWKSCH,0.807,0.7614,-0.2485,0.0209
60, PEMNTVTY,0.8056,0.7614,-0.4201,0.022
312, PXIO1OCD,0.8073,0.7614,-0.2071,0.0223
210, PRNAGPWS,0.8074,0.7614,-0.1969,0.0228
349, PEIO1OCD,0.7931,0.7614,-1.9624,0.0245
15, HWHHWGT,0.8084,0.7614,-0.0634,0.0262
258, PXAGE,0.8065,0.7614,-0.307,0.0287
86, PEHRUSL2,0.8048,0.7614,-0.5194,0.0317
98, PEHRACT2,0.8073,0.7614,-0.2038,0.032
269, PXHSPNON,0.8082,0.7614,-0.0928,0.032
198, PRDTCOW1,0.7972,0.7615,-1.4548,0.0327
161, PEJHWANT,0.8077,0.7615,-0.1544,0.0338
353, PRIMIND2,0.8076,0.7615,-0.174,0.0354
222, PTHR,0.8086,0.7615,-0.0403,0.0356
20, HUINTTYP,0.8069,0.7615,-0.2513,0.0361
92, PEHRRSN3,0.7944,0.7615,-1.8047,0.0361
121, PULKM2,0.8024,0.7615,-0.8063,0.0373
145, PEDWWNTO,0.8083,0.7615,-0.0858,0.042
33, GTCO,0.8065,0.7615,-0.309,0.043
102, PUHRCK2,0.8085,0.7615,-0.0586,0.0437
316, PXERNUOT,0.8084,0.7615,-0.0677,0.0439
176, PRUNTYPE,0.7995,0.7616,-1.1657,0.0486
304, PXDWLKWK,0.8072,0.7616,-0.2194,0.049
227, PUERN2,0.8094,0.7616,0.0518,0.0491
188, PEIO2COW,0.8077,0.7616,-0.1564,0.0508
8, HETELHHD,0.8092,0.7616,0.0296,0.0511
158, PEJHWKO,0.8044,0.7616,-0.5602,0.052
321, PXERNWKP,0.7988,0.7616,-1.2593,0.0532
164, PRABSREA,0.8072,0.7616,-0.2227,0.0545
172, PRJOBSEA,0.7983,0.7616,-1.3148,0.055
234, PENLFACT,0.8042,0.7616,-0.5902,0.0551
168, PREMPNOT,0.8075,0.7616,-0.1844,0.0553
181, PUJHCK4,0.8077,0.7616,-0.1593,0.0574
221, PRERNHLY,0.8079,0.7617,-0.1359,0.0604
263, PXAFNOW,0.7966,0.7617,-1.5258,0.0657
297, PXLKDUR,0.8087,0.7617,-0.0359,0.0661
132, PULKPS1,0.7983,0.7617,-1.323,0.0681
219, PEERNH2,0.8024,0.7617,-0.8152,0.071
320, PXERN,0.8099,0.7617,0.1127,0.0714
285, PXHRACTT,0.8043,0.7618,-0.5744,0.0755
137, PULKPS6,0.8092,0.7618,0.033,0.0758
374, PEDISOUT,0.8028,0.7618,-0.7661,0.0763
308, PXJHRSN,0.8003,0.7618,-1.0653,0.0765
171, PRHRUSL,0.808,0.7618,-0.1139,0.0769
270, PXMLR,0.8063,0.7618,-0.3248,0.0777
107, PUHRCK7,0.8001,0.7618,-1.0982,0.0795
74, PURETOT,0.802,0.7618,-0.8559,0.0814
128, PULKDK3,0.808,0.7618,-0.1228,0.0847
220, PEERNH1O,0.8085,0.7619,-0.0626,0.087
287, PXHRAVL,0.7984,0.7619,-1.3021,0.089
180, PUJHCK3,0.8076,0.7619,-0.1654,0.0896
186, PEIO1COW,0.7991,0.7619,-1.217,0.09
266, PXNATVTY,0.8093,0.7619,0.0381,0.0908
346, PXMS123,0.8002,0.7619,-1.0773,0.0928
24, HUBUS,0.7989,0.7619,-1.2449,0.0937
78, PUDIS2,0.8014,0.7619,-0.9326,0.0939
268, PXFNTVTY,0.8053,0.7619,-0.4531,0.0945
146, PEDWRSN,0.8017,0.762,-0.8977,0.0987
125, PULKM6,0.7968,0.762,-1.5069,0.1045
162, PUJHCK1,0.807,0.762,-0.2398,0.1049
